serie_id,mes_dt,tipo,fallas_central,fallas_lo,fallas_hi,costo_central,costo_lo,costo_hi
"211evo2||Activated charcoal filter pipe||MECHANICAL FAULT,CRACKED, DEFORMED, DAMAGED",2025-03-01,Histórico,2.0,2.0,2.0,340.4,340.4,340.4
"211evo2||Activated charcoal filter pipe||MECHANICAL FAULT,CRACKED, DEFORMED, DAMAGED",2025-04-01,Histórico,1.0,1.0,1.0,126.09,126.09,126.09
"211evo2||Activated charcoal filter pipe||MECHANICAL FAULT,CRACKED, DEFORMED, DAMAGED",2025-05-01,Histórico,4.0,4.0,4.0,757.0,757.0,757.0
"211evo2||Activated charcoal filter pipe||MECHANICAL FAULT,CRACKED, DEFORMED, DAMAGED",2025-06-01,Histórico,1.0,1.0,1.0,157.41,157.41,157.41
"211evo2||Activated charcoal filter pipe||MECHANICAL FAULT,CRACKED, DEFORMED, DAMAGED",2025-08-01,Histórico,2.0,2.0,2.0,478.57,478.57,478.57
"211evo2||Activated charcoal filter pipe||MECHANICAL FAULT,CRACKED, DEFORMED, DAMAGED",2025-09-01,Histórico,2.0,2.0,2.0,507.17,507.17,507.17
"211evo2||Activated charcoal filter pipe||MECHANICAL FAULT,CRACKED, DEFORMED, DAMAGED",2025-10-01,Histórico,2.0,2.0,2.0,478.4,478.4,478.4
"211evo2||Activated charcoal filter pipe||MECHANICAL FAULT,CRACKED, DEFORMED, DAMAGED",2025-11-01,Histórico,2.0,2.0,2.0,348.15999999999997,348.15999999999997,348.15999999999997
"211evo2||Activated charcoal filter pipe||MECHANICAL FAULT,CRACKED, DEFORMED, DAMAGED",2025-12-01,Forecast ML,2.080055522918701,0.0,31.831026515630587,373.9315813550949,0.0,5722.263636714911
"211evo2||Activated charcoal filter pipe||MECHANICAL FAULT,CRACKED, DEFORMED, DAMAGED",2026-01-01,Forecast ML,2.2144542217254637,0.0,44.28868089338715,398.0924354395866,0.0,7961.776164204209
"211evo2||Activated charcoal filter pipe||MECHANICAL FAULT,CRACKED, DEFORMED, DAMAGED",2026-02-01,Forecast ML,2.030041456222534,0.0,53.560234790107394,364.940552585125,0.0,9628.523408217607
"211evo2||Activated charcoal filter pipe||MECHANICAL FAULT,CRACKED, DEFORMED, DAMAGED",2026-03-01,Forecast ML,2.1633815288543703,0.0,61.66532351427814,388.91109744215015,0.0,11085.575208161783
"211evo2||Activated charcoal filter pipe||MECHANICAL FAULT,CRACKED, DEFORMED, DAMAGED",2026-04-01,Forecast ML,2.17252402305603,0.0,68.6977175593842,390.55464362478256,0.0,12349.7886856505
"211evo2||Activated charcoal filter pipe||MECHANICAL FAULT,CRACKED, DEFORMED, DAMAGED",2026-05-01,Forecast ML,2.0150870800018312,0.0,74.88978536448946,362.2522043719292,0.0,13462.93671497427
211evo2||Activated charcoal filter pipe||NOISY,2025-09-01,Histórico,1.0,1.0,1.0,12.57,12.57,12.57
211evo2||Activated charcoal filter pipe||NOISY,2025-11-01,Histórico,1.0,1.0,1.0,17.42,17.42,17.42
